Task_1,Q1,Q2,Q3,Q4,Q5,Task_2,Q11,Q21,Q31,Q41,Q_5,Task_3,Q12,Q22,Q32,Q42,Q_51,Task_4,Q13,Q23,Q33,Q43,Q51,Task_5,Q14,Q24,Q34,Q44,Q52,Task_6,Q15,Q25,Q35,Q45,Q_52,Task_7,Q16,Q26,Q36,Q46,Q_53
Task 1: Pick a task and then answer the following 4 questions related to it:,Are there any other tasks to complete before this one?,What tasks must be completed before this one?,"What is the estimated time required for this task? (e.g., 2 days, 2.5 days, 0.5 days)",What is the value or benefit of completing this task?,Can the task be done partially?,Task 2: Pick another task and then answer the 4 following questions related to it:,Are there any other tasks to complete before this one?,What tasks must be completed before this one?,"What is the estimated time required for this task? (e.g., 2 days, 2.5 days, 0.5 days)",What is the value or benefit of completing this task?,Can the task be done partially?,Task 3: Pick another task and then answer the 4   following questions related to it:,Are there any other tasks to complete before this one?,What tasks must be completed before this one?,"What is the estimated time required for this task? (e.g., 2 days, 2.5 days, 0.5 days)",What is the value or benefit of completing this task?,Can the task be done partially?,Task 4: Pick another task and then answer the 4   following questions related to it:,Are there any other tasks to complete before this one?,What tasks must be completed before this one?,"What is the estimated time required for this task? (e.g., 2 days, 2.5 days, 0.5 days)",What is the value or benefit of completing this task?,Can the task be done partially?,Task 5: Pick another task and then answer the 4   following questions related to it:,Are there any other tasks to complete before this one?,What tasks must be completed before this one?,"What is the estimated time required for this task? (e.g., 2 days, 2.5 days, 0.5 days)",What is the value or benefit of completing this task?,Can the task be done partially?,Task 6: Pick another task and then answer the 4   following questions related to it:,Are there any other tasks to complete before this one?,What tasks must be completed before this one?,7,What is the value or benefit of completing this task?,Can the task be done partially?,Task 7: Pick another task and then answer the 4   following questions related to it:,Are there any other tasks to complete before this one?,What tasks must be completed before this one?,1,7,Can the task be done partially?
2024 Fall class,Yes,Leetcode,12,10,No,Assignments and Exams,Yes,2024 Fall class,14,10,No,Networking event,No,,14,7,No,Job Searching and Preparation,Yes,Leetcode,15,10,,Shopping and Household,No,,1,10,No,Job Searching and Preparation,Yes,Leetcode,17,9,No,Job Searching and Preparation,Yes,Networking event,14,9,No
Leetcode,No,No,3,6,Yes,Leetcode,No,No,5,7,No,Assignments and Exams,Yes,2024 Fall class,5,7,No,Job Searching and Preparation,No,No,3,5,,Job Searching and Preparation,No,,3,5,Yes,Shopping and Household,No,No,3,5,No,Networking event,No,No,1,6,No
2024 Fall class,Yes,Assignments and Exams,12,10,No,2024 Fall class,Yes,No,12,10,No,Leetcode,Yes,Leetcode,12,8,No,,Yes,Networking event,12,7,,Leetcode,Yes,Assignments and Exams,12,10,No,Leetcode,Yes,2024 Fall class,12,7,No,Leetcode,No,Leetcode,1,7,No
Leetcode,No,No,2,10,Yes,2024 Fall class,No,No,1,10,No,Assignments and Exams,Yes,2024 Fall class,1,10,No,Networking event,No,No,2.5,10,,Job Searching and Preparation,No,,5,10,Yes,Exercise and Outdoor Activity,No,No,7,10,No,Shopping and Household,No,No,0,0,No
Shopping and Household,No,No,12,4,NO,Assignments and Exams,No,2024 Fall class,2.5 days,5,No,2024 Fall class,No,,2 days,5,No,Leetcode,No,No,0.5 days,3,,Networking event,No,,1 day,3,No,Exercise and Outdoor Activity,No,No,7,4,No,Job Searching and Preparation,No,No,1,5,No
Leetcode,No,No,12,6,Yes,2024 Fall class,Yes,No,1 semester,6,No,Networking event,No,,1day,5,No,Job Searching and Preparation,No,No,everyday,7,,Shopping and Household,No,,10days,7,Yes,Assignments and Exams,No,No,7,8,No,Exercise and Outdoor Activity,No,No,1,5,No
2024 Fall class,No,No,12,8,No,Leetcode,Yes,2024 Fall class,2.5days,10,No,Assignments and Exams,Yes,2024 Fall class,5days,10,No,Networking event,No,No,3days,9,,Job Searching and Preparation,No,,10days,10,No,Exercise and Outdoor Activity,No,No,7,10,No,Shopping and Household,No,No,1,7,No
2024 Fall class,Yes,Assignments and Exams,12,7,No,Leetcode,No,No,0.5 days,7,No,Assignments and Exams,No,,2days,6,No,Networking event,No,No,1 day,8,,Exercise and Outdoor Activity,No,,2 day,7,Yes,Job Searching and Preparation,No,No,7,7,No,Shopping and Household,No,No,1,5,No
Leetcode,No,No,15,10,Yes,Job Searching and Preparation,Yes,Leetcode,30,10,No,Networking event,No,,1,8,No,Shopping and Household,No,No,1,2,,2024 Fall class,No,,5,9,No,Exercise and Outdoor Activity,No,No,1,8,No,Assignments and Exams,No,No,1,7,No
Leetcode,No,No,12,10,Yes,Networking event,Yes,Job Searching and Preparation,0.5 days,10,No,Exercise and Outdoor Activity,Yes,Shopping and Household,1day,10,No,Assignments and Exams,Yes,2024 Fall class,2 days,10,,2024 Fall class,Yes,Exercise and Outdoor Activity,100days,10,Yes,Shopping and Household,No,No,7,10,No,Job Searching and Preparation,No,No,1,8,No
2024 Fall class,No,No,12,10,No,Leetcode,No,No,7.5 days ,10,Yes,Assignments and Exams,Yes,2024 Fall class,17 days,10,Yes,Exercise and Outdoor Activity,No,No,4 days ,7,Yes,Networking event,No,,1 days,6,No,Job Searching and Preparation,No,No,7,8,Yes,Shopping and Household,No,No,7.5,10,No
Assignments ,Yes,2024 Fall class,12,7,Yes,Leetcode,No,No,0.5 days,6,Yes,Shopping and Household,No,,0.5 days,8,Yes,2024 Fall class,No,No,3 months,4,Yes,Exercise and Outdoor Activity,No,,0.5 days,7,Yes,Networking event,No,No,7,3,Yes,Leetcode,No,No,1,7,Yes
